ID 0 | CLASS D | COST 300 000
ID 701 | CLASS C | COST 1 250 000
ID 702 | CLASS C | COST 1 250 000
ID 703 | CLASS C | COST 1 250 000
ID 704 | CLASS C | COST 1 000 000
ID 705 | CLASS C | COST 1 000 000
ID 706 | CLASS C | COST 1 000 000
ID 707 | CLASS C | COST 1 000 000
ID 708 | CLASS C | COST 1 000 000
ID 709 | CLASS B | COST 2 500 000
ID 710 | CLASS C | COST 1 000 000
ID 711 | CLASS C | COST 1 000 000
ID 712 | CLASS C | COST 1 000 000
ID 713 | CLASS C | COST 1 000 000
ID 714 | CLASS B | COST 2 500 000
ID 715 | CLASS C | COST 1 000 000
ID 716 | CLASS C | COST 1 000 000
ID 717 | CLASS C | COST 1 000 000
ID 718 | CLASS C | COST 1 000 000
ID 719 | CLASS C | COST 1 000 000
ID 720 | CLASS B | COST 2 500 000
ID 721 | CLASS C | COST 1 000 000
ID 722 | CLASS C | COST 1 000 000
ID 723 | CLASS C | COST 1 000 000
ID 727 | CLASS C | COST 1 250 000
ID 731 | CLASS C | COST 1 000 000
ID 733 | CLASS C | COST 1 000 000
ID 761 | CLASS B | COST 4 000 000
ID 763 | CLASS B | COST 4 000 000
ID 769 | CLASS C | COST 1 000 000
