ID 1 | CLASS S | COST 1000000
ID 759 | CLASS N | COST 500000
ID 760 | CLASS D | COST 350000
ID 761 | CLASS N | COST 500000
ID 762 | CLASS N | COST 500000
ID 763 | CLASS N | COST 500000
ID 764 | CLASS S | COST 
ID 765 | CLASS S | COST 30000000
ID 766 | CLASS S | COST 30000000
ID 767 | CLASS S | COST 30000000
ID 768 | CLASS C | COST 1500000
ID 769 | CLASS N | COST 500000
ID 770 | CLASS N | COST 500000
ID 771 | CLASS N | COST 500000
ID 772 | CLASS N | COST 500000
ID 773 | CLASS N | COST 500000
ID 774 | CLASS N | COST 500000
ID 775 | CLASS N | COST 500000
ID 776 | CLASS N | COST 500000
ID 777 | CLASS N | COST 500000
ID 778 | CLASS N | COST 500000
ID 779 | CLASS S | COST 30000000
ID 780 | CLASS N | COST 500000
ID 781 | CLASS N | COST 500000
ID 782 | CLASS N | COST 500000
ID 783 | CLASS N | COST 500000
ID 784 | CLASS N | COST 500000
ID 785 | CLASS N | COST 500000
ID 786 | CLASS N | COST 500000
ID 787 | CLASS N | COST 500000
ID 788 | CLASS N | COST 500000
ID 789 | CLASS N | COST 500000
ID 790 | CLASS N | COST 500000
ID 791 | CLASS N | COST 500000
ID 792 | CLASS N | COST 500000
ID 793 | CLASS N | COST 500000
ID 794 | CLASS N | COST 500000
ID 795 | CLASS N | COST 500000
ID 796 | CLASS N | COST 500000
ID 797 | CLASS N | COST 500000
ID 798 | CLASS N | COST 500000
ID 799 | CLASS N | COST 500000
ID 800 | CLASS N | COST 500000
ID 801 | CLASS N | COST 500000
ID 802 | CLASS N | COST 500000
ID 803 | CLASS N | COST 500000
ID 804 | CLASS N | COST 500000
ID 805 | CLASS N | COST 500000
ID 806 | CLASS N | COST 500000
ID 807 | CLASS N | COST 500000
ID 808 | CLASS N | COST 500000
ID 809 | CLASS N | COST 500000
ID 810 | CLASS N | COST 500000
ID 811 | CLASS N | COST 500000
ID 812 | CLASS N | COST 500000
ID 813 | CLASS N | COST 500000
ID 814 | CLASS N | COST 500000
ID 815 | CLASS N | COST 500000
ID 816 | CLASS N | COST 500000
ID 817 | CLASS N | COST 500000
ID 818 | CLASS N | COST 500000
ID 819 | CLASS S | COST 1
ID 820 | CLASS S | COST 15000000
ID 821 | CLASS N | COST 500000
ID 822 | CLASS S | COST 1
ID 823 | CLASS A | COST 10000000
ID 824 | CLASS A | COST 2000000
ID 825 | CLASS A | COST 2000000
ID 826 | CLASS S | COST 2000000
ID 827 | CLASS A | COST 3500000
ID 828 | CLASS B | COST 1500000
ID 829 | CLASS A | COST 1500000
ID 830 | CLASS B | COST 3000000
ID 831 | CLASS B | COST 1500000
ID 832 | CLASS A | COST 2500000
ID 833 | CLASS B | COST 3000000
ID 834 | CLASS B | COST 1500000
ID 835 | CLASS B | COST 3000000
ID 836 | CLASS B | COST 3000000
ID 837 | CLASS A | COST 2500000
ID 838 | CLASS B | COST 3000000
ID 839 | CLASS B | COST 3000000
ID 840 | CLASS A | COST 2500000
ID 841 | CLASS B | COST 3000000
ID 842 | CLASS N | COST 500000
ID 843 | CLASS N | COST 500000
ID 844 | CLASS N | COST 500000
ID 845 | CLASS N | COST 500000
ID 846 | CLASS N | COST 500000
ID 847 | CLASS N | COST 500000
ID 848 | CLASS N | COST 500000
ID 849 | CLASS N | COST 500000
ID 850 | CLASS N | COST 500000
ID 851 | CLASS N | COST 500000
ID 852 | CLASS D | COST 500000
ID 853 | CLASS N | COST 500000
ID 854 | CLASS N | COST 500000
ID 855 | CLASS N | COST 500000
ID 856 | CLASS N | COST 500000
ID 857 | CLASS N | COST 500000
ID 858 | CLASS N | COST 500000
ID 859 | CLASS N | COST 500000
ID 860 | CLASS N | COST 500000
ID 861 | CLASS N | COST 500000
ID 862 | CLASS N | COST 500000
ID 863 | CLASS N | COST 500000
ID 864 | CLASS N | COST 500000
ID 865 | CLASS N | COST 500000
ID 866 | CLASS N | COST 500000
ID 867 | CLASS N | COST 500000
ID 868 | CLASS N | COST 500000
ID 869 | CLASS C | COST 1000000
ID 870 | CLASS C | COST 1000000
ID 871 | CLASS C | COST 1000000
ID 872 | CLASS C | COST 1000000
ID 873 | CLASS N | COST 500000
ID 874 | CLASS C | COST 1000000
ID 875 | CLASS C | COST 1000000
ID 876 | CLASS C | COST 1000000
ID 877 | CLASS C | COST 1000000
ID 878 | CLASS C | COST 1000000
ID 879 | CLASS C | COST 1000000
ID 880 | CLASS N | COST 500000
ID 881 | CLASS N | COST 500000
ID 882 | CLASS N | COST 500000
ID 883 | CLASS N | COST 500000
ID 884 | CLASS N | COST 500000
ID 885 | CLASS N | COST 500000
ID 886 | CLASS N | COST 500000
ID 887 | CLASS N | COST 500000
ID 888 | CLASS N | COST 500000
ID 889 | CLASS N | COST 500000
ID 890 | CLASS N | COST 500000
ID 891 | CLASS N | COST 500000
ID 892 | CLASS N | COST 500000
ID 893 | CLASS N | COST 500000
ID 894 | CLASS N | COST 500000
ID 895 | CLASS N | COST 500000
ID 896 | CLASS N | COST 500000
ID 897 | CLASS N | COST 500000
ID 898 | CLASS N | COST 1000000
ID 899 | CLASS N | COST 500000
ID 900 | CLASS N | COST 500000
ID 901 | CLASS N | COST 500000
ID 902 | CLASS D | COST 800000
ID 903 | CLASS D | COST 800000
ID 904 | CLASS D | COST 800000
ID 905 | CLASS S | COST 16000000
ID 906 | CLASS N | COST 500000
ID 907 | CLASS C | COST 1500000
ID 908 | CLASS A | COST 5000000
ID 909 | CLASS N | COST 500000
ID 910 | CLASS N | COST 500000
ID 911 | CLASS N | COST 500000
ID 912 | CLASS S | COST 15000000
ID 913 | CLASS A | COST 2500000
